Address,Price,Beds,Baths,Sizes
"28723 Everett St, Southfield, MI 48076","$169,900",3,2,"1,104sqft"
"540 Woodridge St NE, Grand Rapids, MI 49505","$189,500",2,1,"1,114sqft"
"1917 E Lincoln Ave, Royal Oak, MI 48067","$204,900",3,1,"1,046sqft"
"7703 Coachman Ln, Jenison, MI 49428","$149,900",2,1,875sqft
"41245 Turnberry Ln, Clinton Township, MI 48038","$259,000",2,2,"1,738sqft"
"2315 Champion Dr, Burton, MI 48519","$260,990",4,2.5,"2,009sqft"
"10306 Island Lake Dr, Taylor, MI 48180","$310,990",4,2.5,"2,009sqft"
"232 Chippewa Trl, Prudenville, MI 48651","$199,900",3,2,"2,050sqft"
"13782 W Shore Dr, Millersburg, MI 49759","$125,000",2,1,894sqft
"2815 S Westnedge Ave, Kalamazoo, MI 49008","$100,000",3,1,"1,450sqft"
"13820 Beckett Rd, Johannesburg, MI 49751","$235,000",3,2,"1,974sqft"
"6055 Shaftsburg Rd, Williamston, MI 48895","$419,900",3,2.5,"2,314sqft"
"1701 W Shiawassee St, Lansing, MI 48915","$233,500",4,1.5,"3,319sqft"
"1438 Ferndale Ave, Kalamazoo, MI 49006","$175,000",3,1.5,"1,330sqft"
"312 Michigan Ave, Crystal Falls, MI 49920","$95,000",3,1.5,"1,584sqft"
"37321 Tapiola Rd, Chassell, MI 49916","$286,500",4,1.5,"1,450sqft"
"5656 and 5658 Plymouth-Ann Arbor Rd, Ann Arbor, MI 48105","$1,495,000",5,5.5,"4,193sqft"
"5290 Deland Rd, Flushing, MI 48433","$134,900",3,1,"1,224sqft"
"4382 Forest Ave, Waterford, MI 48328","$380,000",3,2.5,"2,115sqft"
"2003 10th Ave, Menominee, MI 49858","$79,900",3,1,"1,353sqft"
"68 E 29th St, Holland, MI 49423","$349,900",2,1.5,"2,353sqft"
"5600 Sugar Bush Ln, Flint, MI 48532","$315,000",4,2.5,"3,467sqft"
"Stony Meadow Dr Lot 13, Jackson, MI 49201","$301,900",3,2.5,"1,756sqft"
"6084 River St Lot 8, Indian River, MI 49749","$299,000",2,1,512sqft
"8059 Ward St, Detroit, MI 48228","$124,900",3,1.5,"1,475sqft"
"19705 Coral Gables St, Southfield, MI 48076","$264,900",4,1.5,"1,771sqft"
"17379 Santa Barbara Dr, Detroit, MI 48221","$277,500",4,2.5,"2,552sqft"
"306 Garland St, Ypsilanti, MI 48198","$85,000",2,1.5,768sqft
"73176 Cider Ct, South Haven, MI 49090","$269,900",3,2,"1,456sqft"
"18924 Meier St, Roseville, MI 48066","$113,500",3,1,"1,100sqft"
"5001 Delbrook Ave, Lansing, MI 48910","$105,000",3,1,884sqft
"1119 Mill St, Lincoln Park, MI 48146","$142,900",3,1,"1,105sqft"
"13784 Caldwell St, Hamtramck, MI 48212","$95,000",4,2,"1,200sqft"
"52606 Overlook Trl, Chesterfield, MI 48047","$329,900",3,3.5,"1,972sqft"
"51873 Adler Park Dr E, Chesterfield, MI 48051","$200,000",2,2,"1,326sqft"
"34098 Inverarry Ct, Sterling Heights, MI 48312","$279,900",3,1.5,"1,409sqft"
"1336 Walker Ave NW, Grand Rapids, MI 49504","$224,900",4,2,"1,896sqft"
"453 State St, Harbor Springs, MI 49740","$649,900",2,1.5,"1,560sqft"
"1111111 Undisclosed St, Dearborn, MI 48126","$580,000",4,4,"2,762sqft"
"5123 Woodlands Dr, Bloomfield Hills, MI 48302","$450,000",2,2,"1,962sqft"
"8559 Jack Pine Cir, Ypsilanti, MI 48197","$425,000",4,2.5,"2,297sqft"
"3130 Linwood Ave Unit 6A, Royal Oak, MI 48073","$129,900",2,1,855sqft
"6084 River St Lots 9,10,11, Indian River, MI 49749","$599,000",5,4,"2,456sqft"
"535 Indian Oaks Dr, Howell, MI 48843","$379,900",3,2.5+,"1,840sqft"
"8200 E Jefferson Ave # 56 & 509, Detroit, MI 48214","$235,000",2,2,"1,142sqft"
"10408 Island Lake Dr, Taylor, MI 48180","$291,990",4,2.5,"2,009sqft"
"35300 Woodward Ave Apt 309, Birmingham, MI 48009","$359,900",2,2,993sqft
"6084 River St Lots 8,9,10,11, Indian River, MI 49749","$899,000",7,5,"4,730sqft"
"418 Pearl St, Ypsilanti, MI 48197","$248,500",5,3,"1,495sqft"
"30 W Miller Rd, Mio, MI 48647","$79,900",2,1,"2,016sqft"
"520 Power St, Fowlerville, MI 48836","$210,000",3,1,"1,120sqft"
"6939 170th Ave, Stanwood, MI 49346","$150,000",5,3,"2,240sqft"
"3667 Forest Rd, Oscoda, MI 48750","$141,000",3,2,"1,296sqft"
"310 Greenwood Ct, Middleville, MI 49333","$210,000",3,2,"1,560sqft"
"511 West St, Three Rivers, MI 49093","$139,900",3,1,"1,352sqft"
"5010 N State Rd, Davison, MI 48423","$149,000",3,1.5,"1,060sqft"
"1720 Wood St, Lansing, MI 48912","$225,000",4,2.5,"2,034sqft"
"8255 Burpee Rd, Grand Blanc, MI 48439","$299,900",4,3,"2,066sqft"
"19609 Buffalo St, Detroit, MI 48234","$60,000",3,2,"1,072sqft"
"444 Lasalle Ave NW, Grand Rapids, MI 49534","$269,900",3,2,"2,042sqft"
"23298 Audrey Ave, Warren, MI 48091","$129,900",3,1.5,"1,089sqft"
"603 W Clinton St, Hastings, MI 49058","$334,900",6,3.5,"2,468sqft"
"2417 N, Oscoda, MI 48750","$240,000",4,2,"1,854sqft"
"20459 Yonka St, Detroit, MI 48234","$70,000",3,1,"1,050sqft"
"1554 E Pine Hill Ave, White Cloud, MI 49349","$88,500",1,1,680sqft
"14751 Woodmont Ave, Detroit, MI 48227","$89,999",4,1.5,"1,100sqft"
"15010 Appoline St, Detroit, MI 48227","$65,000",3,1,"1,303sqft"
"120 N Telegraph Rd, Pontiac, MI 48341","$84,900",3,1,"1,350sqft"
"2605 Lynnwood Ave, Saginaw, MI 48601","$33,000",3,1,936sqft
"2417 N US Highway 23, Oscoda, MI 48750","$240,000",4,2,"1,854sqft"
"8200 Trinity St, Detroit, MI 48228","$45,000",3,1.5,"1,042sqft"
"26110 Colgate St, Inkster, MI 48141","$39,900",2,1,696sqft
"118 Wilmin Rd, Quincy, MI 49082","$559,900",5,3,"4,126sqft"
"1508 W Michigan E, Jackson, MI 49202","$138,500",4,2,"2,720sqft"
"79 Lamoreaux Dr NE, Comstock Park, MI 49321","$210,000",3,1,"1,200sqft"
"15100 Griggs St, Detroit, MI 48238","$35,000",3,1,912sqft
"37736 Charter Oaks Blvd, Clinton Township, MI 48036","$130,000",3,1.5,"1,005sqft"
"651 S Navahoe St, Detroit, MI 48215","$75,000",2,1,"1,152sqft"
"50451 Bay Run N Unit 54, Chesterfield Township, MI 48047","$124,900",2,1.5,"1,120sqft"
"34750 Huntley U201 Dr Unit 14, Sterling Heights, MI 48312","$110,000",2,1,900sqft
"15771 Mark Twain St, Detroit, MI 48227","$25,000",3,1,"1,116sqft"
"3752 Katherine St, Dearborn, MI 48124","$144,900",3,1,961sqft
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$320,823",1,1.5,"1,117sqft"
"1 Alexandria Towne St Unit 1, Southfield, MI 48075","$299,000",2,3.5,"1,402sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$621,820",4,2.5,"2,935sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$563,275",4,2.5,"2,935sqft"
"Cook's Crossing 7952 Greendale Drive, Byron Center, MI 49315","From$309,200",3,2.5,"1,546sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$458,400",3,2.5,"2,387sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$449,400",3,3,"2,550sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$532,456",4,2.5,"2,935sqft"
"2418 Buckthorn Dr Unit 36, Shelby Township, MI 48316","$835,900",3,2.5,"2,750sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$332,450",3,2,"1,499sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$330,450",4,2.5,"1,720sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$597,956",4,3.5,"3,338sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$358,950",3,2.5,"1,857sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$558,200",4,3.5,"3,338sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$3,636,900",3,2.5,"1,857sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$617,733",4,3.5,"3,338sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$424,450",3,2,"1,918sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$574,287",4,3.5,"3,338sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$457,950",4,2.5,"2,478sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$548,320",4,2.5,"2,344sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$459,700",4,2.5,"2,528sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$553,820",3,2,"1,918sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$385,700",1,1.5,"1,552sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$425,900",4,2.5,"2,296sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$357,400",4,2.5,"1,931sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$356,400",4,2.5,"2,008sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$589,320",3,2.5,"2,220sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$480,733",4,2.5,"2,344sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$380,200",3,2.5,"1,802sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$494,733",4,2.5,"2,296sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$490,700",4,2.5,"2,935sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$474,456",4,2.5,"2,296sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$537,400",4,2.5,"2,751sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$374,400",4,2.5,"2,008sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$471,733",2,2,"1,773sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$421,200",4,2.5,"2,344sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$549,275",5,3.5,"2,681sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$558,956",4,2.5,"2,751sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$471,775",4,2.5,"2,208sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$475,900",3,2.5,"2,220sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$451,900",4,2.5,"2,478sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$498,900",5,3.5,"2,681sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$498,456",3,2.5,"2,220sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$510,900",4,2.5,"2,935sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$480,200",5,3.5,"2,681sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$563,275",4,2.5,"2,935sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$483,456",4,2.5,"2,478sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$551,233",4,2.5,"2,935sqft"
"Trillium Ridge 22nd Avenue, Hudsonville, MI 49426","From$394,522",2,1.5,"1,364sqft"
"Lowing Woods 3067 Lowingside Drive, Jenison, MI 49428","From$408,900",2,1.5,"1,552sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$412,900",1,1.5,"1,552sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$350,450",4,2.5,"2,008sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$345,323",3,2,"1,499sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$363,323",4,2.5,"1,931sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$375,823",1,1.5,"1,552sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$422,950",4,2.5,"2,344sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$410,950",2,2,"1,773sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$385,400",4,2.5,"2,208sqft"
"Saddlebrook 2311 Quarter Horse Drive NE, Cedar Springs, MI 49319","From$393,823",2,2,"1,773sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$328,950",3,2.5,"1,665sqft"
"Hathaway Lakes 16927 Birchview Drive, Nunica, MI 49448","From$349,450",3,2.5,"1,802sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$426,456",1,1.5,"1,552sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$459,456",4,2.5,"2,344sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$586,320",4,2.5,"2,528sqft"
"Prairie Winds 6611 Prairie Winds Drive, Zeeland, MI 49464","From$339,400",3,2,"1,499sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$563,320",4,2.5,"2,296sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$538,320",2,2,"1,773sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$563,820",4,2.5,"2,244sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$653,820",4,2.5,"2,751sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$681,320",4,3.5,"3,338sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$553,820",3,2,"1,918sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$548,320",4,2.5,"2,344sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$361,700",3,2,"1,499sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$405,700",4,2.5,"2,208sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$534,320",4,2.5,"2,208sqft"
"Macatawa Legends 4600 Macatawa Legends, Holland, MI 49424","From$407,200",2,2,"1,773sqft"
"Bonnie Meadows 9630 Tobermory Drive, Haslett, MI 48840","From$589,320",3,2.5,"2,220sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$496,233",4,2.5,"2,244sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$520,456",5,3.5,"2,681sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$526,275",3,2.5,"2,220sqft"
"Whitehills Lakes South Southridge Rd, East Lansing, MI 48823","From$503,275",4,2.5,"2,296sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$583,733",4,2.5,"2,751sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$425,456",3,2.5,"1,857sqft"
"Spring Grove Village Rocaway Drive, Hudsonville, MI 49426","From$518,233",3,2.5,"2,220sqft"
"Preservation Lakes 819 WATER RIDGE DRIVE SE, Byron Center, MI 49315","From$447,456",2,2,"1,773sqft"
