Address,Price,Beds,Baths,Sizes
"950 Fisher St Unit C, Houston, TX 77018","$444,900",3,3.5,"2,177sqft"
"950 Fisher St Unit B, Houston, TX 77018","$444,900",3,3.5,"2,177sqft"
"948 Fisher St Unit B, Houston, TX 77018","$444,900",3,3.5,"2,177sqft"
"950 Fisher St Unit A, Houston, TX 77018","$454,900",3,3.5,"2,177sqft"
"948 Fisher St Unit A, Houston, TX 77018","$454,900",3,3.5,"2,177sqft"
"948 Fisher St Unit C, Houston, TX 77018","$444,900",3,3.5,"2,177sqft"
"948 Fisher St Unit D, Houston, TX 77018","$454,900",3,3.5,"2,177sqft"
"948 Fisher St Unit E, Houston, TX 77018","$459,900",3,3.5,"2,177sqft"
"948 Fisher St Unit F, Houston, TX 77018","$469,900",3,3.5,"2,177sqft"
"264 6th St, Walnut Springs, TX 76690","$75,000",3,2,"1,824sqft"
"8226 County Road 219, Tyler, TX 75707","$210,000",3,2.5,"1,899sqft"
"1022 Imelda St, Edinburg, TX 78541","$149,000",4,2,"1,506sqft"
"158 Dow Ln, Luling, TX 78648","$480,000",3,2,"3,000sqft"
"603 County Road 199, Angleton, TX 77515","$229,000",3,2,"1,966sqft"
"1238 C # R233, Tyler, TX 75705","$145,000",3,1.5,"1,200sqft"
"206 Staples Dr, Baytown, TX 77523","$248,000",3,2,"2,188sqft"
"8201 County Road 301, Grandview, TX 76050","$282,000",3,2,"1,008sqft"
"2001 Alabama St, Big Spring, TX 79720","$198,000",3,2,"1,388sqft"
"13006 FM 757, Winona, TX 75792","$1,990,000",3,3.5,"5,174sqft"
"7726 White Plains Ave, Amarillo, TX 79121","$505,000",3,3,"4,208sqft"
"1511 Valencia, San Antonio, TX 78237","$207,900",3,2,"1,403sqft"
"729 N Cypress St, Pharr, TX 78577","$125,500",4,2,"1,044sqft"
"4505 Hueco Ave, El Paso, TX 79903","$225,000",3,2,"1,623sqft"
"230 S Roosevelt, El Indio, TX 78860","$98,000",8,2,"3,200sqft"
"7151 Woodlake Pkwy Unit 459, San Antonio, TX 78218","$100,000",4,2,"1,456sqft"
"11600 Lapoynor St, Manor, TX 78653","$342,200",3,2,"1,574sqft"
"20540 County Road 2171, Whitehouse, TX 75791","$385,000",4,2,"2,595sqft"
"2600 W 7th St Apt 2534, Fort Worth, TX 76107","$395,000",2,2,"1,384sqft"
"1133 Blue Lake Blvd, Arlington, TX 76005","$685,000",5,4,"3,767sqft"
"1730 Emerald St, Grand Prairie, TX 75051","$287,500",3,2,"1,499sqft"
"10310 Helmsdale St, Houston, TX 77043","$524,900",4,2.5,"2,648sqft"
"48 Greens Shade, San Antonio, TX 78216","$487,000",4,4,"2,925sqft"
"17246 Heritage Bay Dr, Webster, TX 77598","$235,000",4,2,"1,508sqft"
"134 Sea Breeze Dr, Aransas Pass, TX 78336","$1,600,000",4,4.5,"3,878sqft"
"3512 Old Holly Dr, Pearland, TX 77584","$384,500",5,3.5,No display data
"2309 Newforest Ct, Arlington, TX 76017","$895,000",4,3.5,"4,404sqft"
"8901 Lazy Oak Dr, New Fairview, TX 76247","$599,900",4,2.5,"2,887sqft"
"419 Via Regatta St, Webster, TX 77598","$309,900",3,2.5+,"2,741sqft"
"7421 Luz De Lumbre Ave, El Paso, TX 79912","$245,000",3,2.5,"1,875sqft"
"12111 Overton Way, San Antonio, TX 78221","$234,499",3,2,"1,440sqft"
"6900 Adventuress Ct, Fort Worth, TX 76179","$525,000",4,3,"2,923sqft"
"3911 Webster Woods, Katy, TX 77449","$265,900",3,2,"1,801sqft"
"12031 Still Pass, San Antonio, TX 78221","$242,499",4,2,"1,627sqft"
"938 Albatross Way, San Antonio, TX 78221","$283,999",4,2,"1,699sqft"
"4929 Chapman St, Fort Worth, TX 76105","$265,000",3,2,"1,537sqft"
"7132 Cloudcroft Ln, Fort Worth, TX 76131","$370,000",4,3.5,"2,782sqft"
"12115 Overton Way, San Antonio, TX 78221","$244,499",4,2,"1,627sqft"
"1001 Belaire Dr, Granite Shoals, TX 78654","$1,275,000",4,3,"2,336sqft"
"11930 Sand Wedge Way, San Antonio, TX 78221","$240,699",3,2,"1,474sqft"
"11922 Sand Wedge Way, San Antonio, TX 78221","$252,199",4,2,"1,667sqft"
"11931 Sand Wedge Way, San Antonio, TX 78221","$225,199",3,2,"1,217sqft"
"803 Airway Sts, Kingsland, TX 78639","$191,000",2,2,"1,600sqft"
