Address,Price,Beds,Baths,Sizes
"2227 Pelham Pass, Dacula, GA 30019","$383,930",4,2.5,No display data
"55 Long Creek Ct, Covington, GA 30016","$300,000",4,2,"1,994sqft"
"50 Latimer Ln, Cartersville, GA 30121","$510,000",4,3.5,"2,824sqft"
"50 Latimer Ln NW, Cartersville, GA 30121","$510,000",4,3.5,"2,824sqft"
"4694 Chamblee Tucker Rd, Tucker, GA 30084","$279,900",3,2,"1,570sqft"
"4143 Barberry Dr NE, Roswell, GA 30075","$625,000",5,2.5,"3,341sqft"
"902 Riverview Dr SE, Marietta, GA 30067","$220,000",2,1,"1,039sqft"
"907 Glenhaven Dr, Evans, GA 30809","$255,000",3,2,"1,582sqft"
"26 Atlantic Ave Unit 106, Tybee Island, GA 31328","$349,000",3,2,"1,095sqft"
"9 Ellis Ln, Jekyll Island, GA 31527","$1,200,000",3,4.5,"3,863sqft"
"105 Carmen Ln, Sylvester, GA 31791","$114,000",3,1.5,"1,144sqft"
"13 Azalea St SE, Rome, GA 30161","$169,900",3,2,"1,166sqft"
"301 Fleetwood Dr, Rossville, GA 30741","$195,000",3,2.5,"1,937sqft"
"1209 Normandy Rd, Macon, GA 31210","$175,000",4,3,"2,174sqft"
"300 Hayward Bishop Way, Senoia, GA 30276","$229,999",3,2,"1,154sqft"
"4307 Rushmore Pl, Forest Park, GA 30297","$149,999",3,2,"2,200sqft"
"12 Oakridge Dr SE, Cartersville, GA 30121","$180,000",2,2,"1,426sqft"
"145 Kent Rock Rd, Loganville, GA 30052","$222,000",3,1,No display data
"1903 Tuskegee St, Savannah, GA 31405","$174,900",2,2,"1,502sqft"
"730 Broken Arrow, Waleska, GA 30183","$433,095",4,2.5,"2,271sqft"
"2564 Creek Indian Trl, Jonesboro, GA 30236","$400,000",4,3,"2,811sqft"
"724 Broken Arrow, Waleska, GA 30183","$421,425",4,2.5,"2,271sqft"
"21 Bishop Mill Dr NW, Cartersville, GA 30121","$299,900",4,2.5,"1,764sqft"
"179 Ridgelake Cir, Fort Oglethorpe, GA 30742","$307,000",4,2.5,"2,645sqft"
"200 Bay Cove Ct, Stockbridge, GA 30281","$235,000",3,2.5,"1,620sqft"
"2573 Bakers Bridge Rd, Douglasville, GA 30134","$619,500",3,2,No display data
"3730 Old Flowery Branch Rd Apt I1, Oakwood, GA 30566","$150,000",2,1.5,"1,024sqft"
"134 Remedy Dr, Maysville, GA 30558","$929,000",3,4,"2,663sqft"
"20 Sedgefield Ct, Richmond Hill, GA 31324","$260,000",4,2,"1,660sqft"
"4548 Thomas Town Rd, Young Harris, GA 30582","$339,900",3,2,"1,400sqft"
"2106 Castlewood St, East Point, GA 30344","$239,000",3,2,"1,170sqft"
"1011 Hubbard St SW, Atlanta, GA 30310","$159,000",3,1,990sqft
"4140 Etowah Dr SE, Acworth, GA 30102","$259,900",3,2,"1,520sqft"
"804 Rose Creek Walk, Woodstock, GA 30189","$305,000",3,2,"1,505sqft"
"216 Aberdeen Way, Dallas, GA 30132","$364,900",4,2.5,"2,897sqft"
"2111 Defoors Ferry Rd NW Apt B, Atlanta, GA 30318","$190,000",2,1,906sqft
"108 Covington Dr, Ball Ground, GA 30107","$320,000",3,2,"1,672sqft"
"2675 Turning Leaf Dr, Lawrenceville, GA 30044","$420,900",5,3.5,"2,843sqft"
"1102 Center St NW, Atlanta, GA 30318","$539,900",2,2,"1,506sqft"
"1686 Walton Reserve Blvd, Austell, GA 30168","$325,000",4,2.5,"2,420sqft"
"3933 Willow Fields Ct, Loganville, GA 30052","$320,000",3,2.5,"2,128sqft"
"2581 Bechers Brk, Lawrenceville, GA 30043","$368,000",4,2,"2,126sqft"
"2535 Marshall Fuller Rd, Dallas, GA 30157","$315,000",3,2,"1,564sqft"
"1078 Athena Ct, Acworth, GA 30101","$339,000",4,3,"1,628sqft"
"2638 Lake Manor Cir, Duluth, GA 30096","$499,000",5,3,"2,708sqft"
"14495 Eighteenth Fairway, Milton, GA 30004","$850,000",6,5.5,"7,790sqft"
"29 Mansour Cir, Newnan, GA 30263","$389,000",4,3,"2,520sqft"
"599 King Arnold St Unit 10, Hapeville, GA 30354","$435,000",3,3.5,"1,763sqft"
"1010 Saddlers Way, Greensboro, GA 30642","$389,900",3,3,"2,096sqft"
"57 Chaucer St, Savannah, GA 31410","$749,000",3,3.5,"3,738sqft"
"1319 Black Oak Dr SE, Atlanta, GA 30316","$605,000",5,4,No display data
"7662 Squire Ct Unit 551, Fairburn, GA 30213","$289,875",3,2.5,No display data
"110 Berryhill Coody Rd, Cochran, GA 31014","$185,000",3,2,"1,764sqft"
"5828 School Rd, Macon, GA 31216","$248,000",4,2,"2,744sqft"
"418 Princely Ct, Hampton, GA 30228","$249,995",3,2,"1,504sqft"
"142 Flamingo Dr, Monticello, GA 31064","$339,900",3,3,"2,236sqft"
"438 Highgrove Dr, Zebulon, GA 30295","$429,000",5,3,"2,789sqft"
"180 Wayne J Stokes Blvd, Stockbridge, GA 30281","$319,900",5,2.5,"2,832sqft"
"8636 Drake Dr, Lula, GA 30554","$700,000",8,5.5,"6,000sqft"
"6086 Highway 76 W, Clayton, GA 30525","$459,000",3,2,"2,103sqft"
"29 Rocky Cir NE, White, GA 30184","$475,000",5,3.5,No display data
"3595 Oakshire Way SE, Atlanta, GA 30354","$275,000",3,2,"2,768sqft"
"208 Amherst St, Kathleen, GA 31047","$214,900",3,2,"1,644sqft"
"1844 Tiger Flowers Dr NW, Atlanta, GA 30314","$139,999",2,1,886sqft
"415 2nd St, Rome, GA 30161","$79,900",2,1,"1,043sqft"
"1524 Stovall St, Augusta, GA 30904","$199,900",3,2,"1,365sqft"
"305 Deauville Way, Fayetteville, GA 30214","$259,900",4,2.5,"1,982sqft"
"2051 Boone Pl, Snellville, GA 30078","$243,500",3,2,"1,500sqft"
"332 Dylan Way, McDonough, GA 30252","$273,000",3,2.5,No display data
"1658 Huntcrest Way SW, Mableton, GA 30126","$389,900",4,2.5,"2,644sqft"
"96 Senoia Rd, Fairburn, GA 30213","$259,000",3,1,"1,300sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$250,900",4,2.5,"2,400sqft"
"Ivy St, Demorest, GA 30535","$350,000",1,1,No display data
"300 Fontaine Rd SW, Lyons, GA 30126","$675,000",4,3.5,No display data
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$271,622",5,3,"2,700sqft"
"1920 Thornhill Ct, Cumming, GA 30041","$429,000",4,3.5,"2,948sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$268,900",5,3,"3,113sqft"
"3915 Trammel Dr, Cumming, GA 30041","$325,000",3,2,"1,324sqft"
"6294 Gordon Rd, Senoia, GA 30276","$625,000",7,4,"4,097sqft"
"1330 Lanvale Dr SW, Atlanta, GA 30310","$205,000",2,1,No display data
"1976 Lake Ridge Ter, Lawrenceville, GA 30043","$285,000",4,2,"1,754sqft"
No display data,"$599,900",5,4,"2,304sqft"
"270 17th St NW Unit 3008, Atlanta, GA 30363","$784,900",3,3,"2,135sqft"
"5092 Dillingham Dr NW, Acworth, GA 30101","$492,900",2,2,"2,158sqft"
"270 17th St NW Unit 3705, Atlanta, GA 30363","$859,900",3,3,"1,912sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$569,840",5,3.5,"3,560sqft"
"1919 Charcoal Ives Rd, Lawrenceville, GA 30045","$369,900",4,2.5,"2,253sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$515,900",4,3.5,"3,340sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$514,790",5,3.5,"3,909sqft"
"270 17th St NW Unit 3704, Atlanta, GA 30363","$849,900",3,3,"2,013sqft"
"4857 Shaye Xing, Douglasville, GA 30134","$319,900",3,2,No display data
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$581,815",5,4,"4,063sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$507,900",5,3.5,"3,420sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$500,900",5,4,"3,100sqft"
"2640 Tank Rd, Odum, GA 31555","$135,000",2,2.5+,"2,093sqft"
"809 Euclid Ave, Waycross, GA 31501","$179,000",3,2,"1,874sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$260,900",5,3,"3,100sqft"
"1261 Lavista Rd NE Apt A3, Atlanta, GA 30324","$99,900",2,1.5,"82,740sqft"
"108 Millen St, Savannah, GA 31415","$75,000",2,1,750sqft
"114 Mockingbird Ln, Warner Robins, GA 31093","$116,790",3,1.5,"1,125sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$235,900",4,2.5,"1,853sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$258,436",4,3,"2,200sqft"
"255 Shelton St, Richmond Hill, GA 31324","$349,900",4,2.5,"2,668sqft"
"5820 Woodstone Dr, Cumming, GA 30028","$399,000",3,2,"2,061sqft"
"313 Pickwick Rd, Savannah, GA 31410","$409,900",3,2,"1,698sqft"
"Longbridge 103 Longbridge Way, Lot 1, Perry, GA 31069","From$250,511",4,2,"1,771sqft"
"Rowland Place 208 Zora Place, McDonough, GA 30252","From$501,900",4,4,"4,000sqft"
"Emporia at Pembrooke Park 765 Emporia Loop, McDonough, GA 30253","From$323,900",4,2.5,"2,200sqft"
"Peppertree 38 Peppertree Dr, Newnan, GA 30265","From$583,000",5,4.5,"3,585sqft"
"Nickajack Retreat 717 Cooper Lake Rd SE, Smyrna, GA 30082","From$654,100",5,3.5,No display data
"Nickajack Retreat 717 Cooper Lake Rd SE, Smyrna, GA 30082","From$716,100",5,3.5,No display data
"Nickajack Retreat 717 Cooper Lake Rd SE, Smyrna, GA 30082","From$689,100",5,3.5,No display data
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$322,990",2,2,"1,448sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$333,990",2,2,"1,519sqft"
"Meadows at Idylwilde 395 McDaniel Place, Canton, GA 30115","From$433,990",3,2.5,"2,088sqft"
"107 Lukesdale Cv, Thomasville, GA 31757","$304,900",4,2,"1,747sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$368,990",2,2,"1,788sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$362,990",3,2,"1,772sqft"
"2774 Saddle Trl NE, Conyers, GA 30013","$496,679",5,4,"3,000sqft"
"Ridgewalk Landing 113 Lincoln Street, Woodstock, GA 30188","From$439,490",4,3.5,"2,247sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$462,990",3,2,"2,413sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$523,990",3,2,"2,815sqft"
"Nickajack Retreat 717 Cooper Lake Rd SE, Smyrna, GA 30082","From$699,500",5,4,No display data
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$426,990",3,2,"2,136sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$470,990",3,2,"2,547sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$537,990",3,3,"3,058sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$419,990",2,2,"2,012sqft"
"Cresswind Peachtree City 146 Red Maple Drive, Peachtree City, GA 30269","From$437,990",3,2,"2,237sqft"
"Riverside 4580 Payne Road, Woodstock, GA 30188","From$465,990",4,2.5,"2,345sqft"
"Riverside 4580 Payne Road, Woodstock, GA 30188","From$478,990",4,3,"2,412sqft"
"Meadows at Idylwilde 395 McDaniel Place, Canton, GA 30115","From$463,990",4,2.5,"3,020sqft"
"Riverside 4580 Payne Road, Woodstock, GA 30188","From$540,990",4,2.5,"2,937sqft"
"Meadows at Idylwilde 395 McDaniel Place, Canton, GA 30115","From$444,990",4,2.5,"2,544sqft"
"Riverside 4580 Payne Road, Woodstock, GA 30188","From$490,990",4,2.5,"2,937sqft"
"221 Park Drive Dr NE, Ranger, GA 30734","$169,900",3,2,"1,248sqft"
"1708 Mulberry Lake Dr, Dacula, GA 30019","$675,000",5,3,"3,468sqft"
"2034 Britley Park Xing, Woodstock, GA 30189","$255,000",2,2,928sqft
"5069 Highland Hills Ct, Stone Mountain, GA 30088","$197,000",2,2.5,"1,437sqft"
"225 Moccasin Holw, Johns Creek, GA 30097","$950,000",4,3.5+,"4,853sqft"
"176 Harmony Bay Dr, Eatonton, GA 31024","$1,199,000",5,5.5,"5,100sqft"
"1369 Council Bluff Dr NE, Atlanta, GA 30345","$465,000",3,2,"2,274sqft"
"1484 Gaddis Rd, Canton, GA 30115","$725,000",4,3,"2,260sqft"
"1274 Bramlett Creek Pl, Lawrenceville, GA 30045","$357,000",4,2.5,"2,699sqft"
"513 Oak St, Saint Simons Island, GA 31522","$949,900",3,3,"2,242sqft"
"Patriots Ridge Long Creek Falls & Columbia Rd, GROVETOWN, GA 30813","From$290,200",5,3.5,"2,833sqft"
"9570 Blackwolf Run, Douglasville, GA 30135","$400,000",4,3.5,No display data
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$292,990",4,2.5,"2,174sqft"
"277 Scenic Hills Drive, Newnan, GA 30265","From$341,300",4,2.5,"3,497sqft"
"Park West Express 151 Caribbean Village Dr, Guyton, GA 31312","From$254,990",3,2,"1,343sqft"
"277 Scenic Hills Drive, Newnan, GA 30265","From$339,100",5,3,"3,034sqft"
