Address,Price,Beds,Baths,Sizes
"865 Montgomery St, Crown Heights, NY 11213","$2,900,000",7,4,No display data
"540 57th St Unit 4A, Brooklyn, NY 11220","$668,000",2,2,658sqft
"240 96th St Apt 1A, Brooklyn, NY 11209","$579,999",1,1.5,863sqft
"668 Cary Ave Unit 1, Staten Island, NY 10310","$400,000",3,2,"1,488sqft"
"3925 DE Reimer Ave, Bronx, NY 10466","$557,999",3,1.5,"1,872sqft"
"2190 Boston Rd Apt 2E, Bronx, NY 10462","$190,000",1,1,750sqft
"4705 Henry Hudson Pkwy W Apt 6F, Bronx, NY 10471","$245,000",1,1,800sqft
"83-75 118th St Unit 2I, Kew Gardens, NY 11415","$338,888",2,1,No display data
"47-51 43 St Unit 3F, Sunnyside, NY 11104","$440,000",2,1,No display data
"3636 Greystone Ave Apt 2D, Bronx, NY 10463","$224,000",1,1,No display data
"102-03 163rd Dr, Howard Beach, NY 11414","$769,996",4,2,No display data
"130-49 221st St, Laurelton, NY 11413","$650,000",3,2.5,No display data
"18 Renaissance Ct Apt C, New York City, NY 11206","$569,000",2,1.5,No display data
"110-12 172nd St, Jamaica, NY 11433","$649,999",4,2,No display data
"177-56 Meadow Dr, Jamaica, NY 11434","$789,000",6,4,No display data
"1989 Cruger Ave, Bronx, NY 10462","$850,000",6,2,"2,910sqft"
"141-48 79th Ave Unit 2G, Flushing, NY 11367","$325,000",2,1,800sqft
"161-28 98th St, Howard Beach, NY 11414","$749,000",4,2,No display data
"276 Calhoun Ave, Bronx, NY 10465","$779,000",3,3,No display data
"200-14 McLaughlin Ave Unit Townhouse, Queens, NY 11423","$1,050,000",5,2.5,"1,878sqft"
"825 Fifth Ave Unit 6C, New York, NY 10065","$2,400,000",2,2,No display data
"420 E 64th St Apt E7EF, New York, NY 10065","$1,999,500",3,3,"1,650sqft"
"270 Water St Apt 4R, New York, NY 10038","$1,450,000",2,1,"1,250sqft"
"540 57th St Unit 1A, Brooklyn, NY 11220","$850,000",2,3,"1,584sqft"
"425 E 58th St Apt 19G, New York, NY 10022","$1,695,000",2,2.5,"1,800sqft"
"166 E 63rd St Apt 2J, New York, NY 10065","$1,750,000",2,2,"1,202sqft"
"233 E 69th St Apt 2I, New York, NY 10021","$915,000",1,1,No display data
"138-35 Elder Ave Unit 12G, Flushing, NY 11355","$715,000",2,2,871sqft
"212 E 47th St Apt 29J, New York, NY 10017","$950,000",1,1,651sqft
"494 Chauncey St, Brooklyn, NY 11233","$1,875,000",8,6,"2,700sqft"
"309 E 87th St Apt 3D, New York, NY 10128","$659,000",1,1,750sqft
"8638 17th Ave, Brooklyn, NY 11214","$1,599,000",4,3,"2,400sqft"
"15-71 201 St, Bayside, NY 11360","$2,528,000",7,5.5,No display data
"21 Astor Pl Apt 2G, New York, NY 10003","$3,950,000",2,2.5,"1,800sqft"
"337 E 62nd St Apt 6A, New York, NY 10065","$1,945,000",2,2,"1,033sqft"
"1572 Pacific St Apt 2R, Brooklyn, NY 11213","$569,000",1,1,708sqft
"168 Plymouth St Unit 3D, New York City, NY 11201","$2,071,000",1,2,"1,163sqft"
"200 E 59th St Apt 6A, New York, NY 10022","$3,150,000",2,2.5,"1,416sqft"
"351 Guyon Ave, Staten Island, NY 10306","$550,000",4,1.5,"2,776sqft"
"1058 Burke Ave, Bronx, NY 10469","$699,999",7,3,"1,980sqft"
"6817 Avenue T, Brooklyn, NY 11234","$759,900",5,2.5+,"2,236sqft"
"94-30 Magnolia Ct Unit 2A, Ozone Park, NY 11417","$549,900",2,2,"1,195sqft"
"52-54 65th Pl Unit 2L, Maspeth, NY 11378","$369,000",2,1,No display data
"215-44 47th Ave Unit 2A, Bayside, NY 11361","$219,000",1,1,No display data
"546 W 156th St Apt 29, New York City, NY 10032","$217,000",2,1,No display data
"105-24 64 Rd Unit 1P, Forest Hills, NY 11375","$499,000",2,1,No display data
"300 Rector Pl Apt 2H, New York City, NY 10280","$650,000",1,1,625sqft
"157 W 57th St Apt 35F, New York City, NY 10019","$10,500,000",3,3.5,"2,482sqft"
"5 Tudor City Pl Apt 1505, Manhattan, NY 10017","$525,000",1,1,No display data
"107-33 Van Wyck Expy, Jamaica, NY 11435","$600,000",3,2,No display data
"175-04 109th Ave, Jamaica, NY 11433","$780,000",3,3,"1,500sqft"
"45-63 163rd St, Flushing, NY 11358","$858,000",4,1.5,No display data
"250 W 89th St Apt 8K, New York, NY 10024","$675,000",1,1,No display data
"43-10 Kissena Blvd Unit 6A, Flushing, NY 11355","$450,000",2,2,"1,050sqft"
"73-39 189 St, Fresh Meadows, NY 11366","$1,198,000",4,1.5,No display data
"144-27 Sanford Ave Unit 8L, Flushing, NY 11355","$775,000",2,2,692sqft
"235 E 57th St Apt 14C, New York City, NY 10022","$725,000",1,1,730sqft
"144-27 Sanford Ave Unit 5N, Flushing, NY 11355","$820,000",2,2,761sqft
"140-22 Beech P9 Ave Unit 7C, Flushing, NY 11355","$768,000",2,2,967sqft
"144-27 Sanford Ave Unit 4B, Flushing, NY 11355","$456,000",1,1,454sqft
"800 Ocean Pkwy Apt 4D, New York City, NY 11230","$599,000",2,2,No display data
"648 E 81st St, Brooklyn, NY 11236","$940,000",5,2.5,No display data
"144-27 Sanford Ave Unit 2Q, Flushing, NY 11355","$580,000",1,1,514sqft
"44-16 Macnish St Unit 1A, Flushing, NY 11373","$349,000",1,1,700sqft
"144-27 Sanford Ave Unit 4J, Flushing, NY 11355","$538,000",1,1,492sqft
"142-18 38th Ave Unit 9G, Flushing, NY 11354","$764,000",2,2,750sqft
"144-27 Sanford Ave Unit 2M, Flushing, NY 11355","$640,000",1,1,574sqft
"144-27 Sanford Ave Unit 6G, Flushing, NY 11355","$730,000",2,1,655sqft
"2052 71st St, Brooklyn, NY 11204","$1,288,000",4,2,"1,624sqft"
"494 Chauncey St, New York City, NY 11233","$1,875,000",8,6,"2,700sqft"
"554 4th Ave Apt 10C, New York City, NY 11215","$1,195,000",2,2,"1,117sqft"
"109-65 141st St, Jamaica, NY 11435","$1,499,000",3,2,"1,500sqft"
"3 Riverside Dr Unit Mansion, Manhattan, NY 10023","$22,000,000",9,11,No display data
"50 W 30th St Apt 9C, New York, NY 10001","$1,550,000",1,1,679sqft
